,Order No,User Id,Vehicle Type,Platform Type,Personal or Business,Placement - Day of Month,Placement - Weekday (Mo = 1),Placement - Time,Confirmation - Time,Arrival at Pickup - Time,Pickup - Time,Distance (KM),Temperature,Pickup Lat,Pickup Long,Destination Lat,Destination Long,Rider Id,Time from Pickup to Arrival,Fulfillment - Weekday (Su = 0),Fulfillment - Day of Month
0,Order_No_15397,User_Id_1724,Bike,3,Business,4,2,516,8:38:07 AM,9:23:59 AM,9:28:58 AM,9,16.7,-1.2907854,36.7774108,-1.2638898,36.8223638,Rider_Id_774,1614,2,4
1,Order_No_20724,User_Id_2030,Bike,3,Business,10,1,766,1:26:19 PM,1:29:51 PM,1:37:53 PM,2,19.0,-1.2839651,36.7891704,-1.295908,36.791433,Rider_Id_194,1209,1,10
2,Order_No_23091,User_Id_3147,Bike,3,Business,28,5,821,2:05:47 PM,2:29:14 PM,2:37:49 PM,22,25.2,-1.3632162,36.9108253,-1.3472066,36.7692638,Rider_Id_711,2111,5,28
3,Order_No_5078,User_Id_867,Bike,3,Business,15,5,673,11:13:54 AM,11:14:38 AM,11:46:25 AM,10,26.0,-1.2996533,36.8292629,-1.2991441,36.7528804,Rider_Id_154,1821,5,15
4,Order_No_19329,User_Id_2658,Bike,3,Business,8,5,761,12:45:33 PM,12:50:00 PM,1:01:29 PM,18,28.6,-1.2885029,36.825605,-1.3871626,36.7705016,Rider_Id_779,4180,5,8
5,Order_No_5130,User_Id_3355,Bike,3,Business,4,4,894,2:54:45 PM,2:55:28 PM,3:06:21 PM,17,24.8,-1.3052491,36.8223899,-1.3448483,36.9004081,Rider_Id_81,4274,4,4
6,Order_No_11222,User_Id_1329,Bike,3,Business,30,6,667,11:07:51 AM,11:11:51 AM,11:16:19 AM,3,26.6,-1.273056,36.811298,-1.2534301,36.8000983,Rider_Id_751,1160,6,30
7,Order_No_123,User_Id_2283,Bike,2,Personal,5,3,801,1:22:28 PM,1:30:30 PM,1:32:29 PM,6,23.7,-1.2696341,36.791664,-1.2958383,36.8073162,Rider_Id_167,2893,3,5
8,Order_No_10520,User_Id_3080,Bike,3,Business,8,5,782,2:41:58 PM,2:50:11 PM,2:59:24 PM,22,30.5,-1.2551895,36.7822034,-1.3342256,36.9106741,Rider_Id_328,1844,5,8
9,Order_No_24505,User_Id_3295,Bike,3,Business,11,2,684,11:25:44 AM,11:28:58 AM,11:40:55 AM,12,24.4,-1.2571472,36.7950633,-1.2409346,36.8743053,Rider_Id_279,2201,2,11
10,Order_No_10221,User_Id_2346,Bike,1,Personal,30,6,932,3:38:40 PM,3:54:03 PM,3:58:40 PM,8,24.2,-1.3054537,36.8284768,-1.2813742,36.8558927,Rider_Id_212,1485,6,30
11,Order_No_2729,User_Id_3551,Bike,1,Personal,9,3,774,1:02:31 PM,1:08:46 PM,1:13:44 PM,10,20.9,-1.2850638,36.813096,-1.2295205,36.8120426,Rider_Id_865,1610,3,9
12,Order_No_15884,User_Id_3462,Bike,1,Personal,8,5,908,3:19:44 PM,3:36:27 PM,3:45:54 PM,13,21.7,-1.255683,36.813771,-1.2137605,36.8788137,Rider_Id_844,3224,5,8
13,Order_No_27094,User_Id_2066,Bike,3,Business,10,4,505,8:26:01 AM,8:49:55 AM,9:02:45 AM,10,19.3,-1.3210189,36.8410551,-1.279529,36.8828522,Rider_Id_436,1751,4,10
14,Order_No_114,User_Id_265,Bike,3,Business,1,6,755,12:35:38 PM,12:39:10 PM,12:57:53 PM,18,18.7,-1.300921,36.828195,-1.3623272,36.9410845,Rider_Id_890,3904,6,1
15,Order_No_15476,User_Id_867,Bike,3,Business,18,2,699,12:13:11 PM,12:15:50 PM,12:28:06 PM,10,22.53022299669467,-1.2996533,36.8292629,-1.2991441,36.7528804,Rider_Id_555,1559,2,18
16,Order_No_13508,User_Id_635,Bike,3,Business,10,4,530,8:50:40 AM,8:57:12 AM,9:09:26 AM,17,19.3,-1.2599563,36.7993439,-1.177202,36.8351183,Rider_Id_427,2499,4,10
17,Order_No_1451,User_Id_647,Bike,3,Business,14,5,813,1:34:55 PM,1:39:13 PM,1:51:49 PM,4,22.9,-1.3004062,36.829741,-1.292163,36.8000995,Rider_Id_243,973,5,14
18,Order_No_19093,User_Id_1890,Bike,1,Personal,29,2,483,8:12:36 AM,8:24:34 AM,8:38:19 AM,21,16.5,-1.3855778,36.9269619,-1.276312,36.882742,Rider_Id_932,1939,2,29
19,Order_No_11643,User_Id_2302,Bike,1,Personal,1,3,1010,4:51:00 PM,5:00:58 PM,5:06:42 PM,2,23.3,-1.2913382,36.8018508,-1.287429,36.786357,Rider_Id_263,627,3,1
20,Order_No_27562,User_Id_3030,Bike,3,Business,4,3,720,12:00:35 PM,12:04:55 PM,12:14:12 PM,5,17.0,-1.3004846,36.7901591,-1.2866012,36.8195691,Rider_Id_726,958,3,4
21,Order_No_6003,User_Id_2271,Bike,3,Business,18,6,639,10:40:04 AM,10:59:16 AM,11:15:11 AM,12,21.3,-1.228911,36.881876,-1.293515,36.897607,Rider_Id_68,1206,6,18
22,Order_No_27206,User_Id_1958,Bike,3,Business,31,4,931,3:51:32 PM,4:00:11 PM,4:03:45 PM,23,28.9,-1.3700383,36.9190174,-1.2551895,36.7822034,Rider_Id_813,2579,4,31
23,Order_No_562,User_Id_246,Bike,3,Business,24,1,786,1:08:11 PM,1:16:04 PM,1:21:25 PM,18,22.9,-1.2859912,36.8756811,-1.2584143,36.8048002,Rider_Id_404,1188,1,24
24,Order_No_4420,User_Id_1899,Bike,3,Business,16,1,771,12:51:28 PM,1:04:47 PM,1:10:41 PM,11,19.1,-1.272828,36.816608,-1.331619,36.847976,Rider_Id_88,1697,1,16
25,Order_No_7997,User_Id_970,Bike,3,Business,29,2,808,1:29:23 PM,1:38:32 PM,1:40:47 PM,7,26.8,-1.2551895,36.7822034,-1.2795549,36.7627011,Rider_Id_333,892,2,29
26,Order_No_6483,User_Id_1363,Bike,3,Business,14,4,894,3:08:37 PM,3:22:52 PM,3:27:59 PM,1,28.0,-1.3004062,36.829741,-1.3068209,36.8282524,Rider_Id_311,940,4,14
27,Order_No_26974,User_Id_3064,Bike,3,Business,23,5,637,10:38:01 AM,10:42:18 AM,10:43:38 AM,20,24.2,-1.2571472,36.7950633,-1.2110432,36.9114173,Rider_Id_387,1349,5,23
28,Order_No_19768,User_Id_1329,Bike,3,Business,30,2,645,10:46:12 AM,10:57:24 AM,11:01:15 AM,3,22.4,-1.273056,36.811298,-1.2767473,36.8095371,Rider_Id_580,881,2,30
29,Order_No_4733,User_Id_1760,Bike,1,Personal,7,4,1102,6:23:09 PM,6:30:54 PM,6:38:45 PM,1,17.6,-1.264865,36.810488,-1.2593049,36.8029373,Rider_Id_434,610,4,7
30,Order_No_10028,User_Id_3149,Bike,3,Business,16,3,642,10:42:43 AM,10:51:49 AM,11:19:55 AM,6,22.8,-1.3004062,36.829741,-1.3167113,36.8301563,Rider_Id_111,838,3,16
31,Order_No_26315,User_Id_3057,Bike,2,Personal,2,4,562,9:23:03 AM,9:29:15 AM,10:08:30 AM,6,13.3,-1.2543164,36.831861,-1.258984,36.835837,Rider_Id_427,553,4,2
32,Order_No_2052,User_Id_2330,Bike,3,Business,20,3,709,11:50:27 AM,12:27:20 PM,12:51:26 PM,11,27.4,-1.2684123,36.8143348,-1.3015197,36.7658456,Rider_Id_132,3492,3,20
33,Order_No_12899,User_Id_3109,Bike,2,Personal,4,3,929,3:48:21 PM,4:12:33 PM,4:27:59 PM,11,18.2,-1.3107918,36.761794,-1.2551895,36.7822034,Rider_Id_465,1629,3,4
34,Order_No_18502,User_Id_2685,Bike,1,Personal,22,6,603,10:03:45 AM,10:28:25 AM,10:44:02 AM,28,21.3,-1.3433181,36.9138018,-1.3329386,36.7087809,Rider_Id_504,2537,6,22
35,Order_No_2903,User_Id_2008,Bike,3,Business,31,2,791,1:13:08 PM,1:23:47 PM,1:33:27 PM,5,21.9,-1.2508229,36.7895263,-1.2638898,36.8223638,Rider_Id_882,946,2,31
36,Order_No_23905,User_Id_53,Bike,3,Business,10,1,856,2:36:20 PM,3:13:48 PM,3:24:06 PM,8,18.2,-1.3167113,36.8301563,-1.2770708,36.8231093,Rider_Id_55,2328,1,10
37,Order_No_666,User_Id_2931,Bike,3,Business,27,3,890,3:07:58 PM,3:33:31 PM,3:48:16 PM,23,29.3,-1.3433181,36.9138018,-1.2452664,36.8028541,Rider_Id_524,2294,3,27
38,Order_No_7353,User_Id_3091,Bike,3,Business,9,6,892,3:23:40 PM,3:29:28 PM,3:42:37 PM,6,27.3,-1.290894,36.822971,-1.2962832,36.7849683,Rider_Id_276,751,6,9
39,Order_No_12166,User_Id_1527,Bike,3,Business,8,1,711,11:51:18 AM,12:04:09 PM,12:10:57 PM,5,28.0,-1.3004062,36.829741,-1.3228003,36.8306435,Rider_Id_155,2299,1,8
